Average Domestic Airline Itinerary Fares By Origin City for Q1 2020 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q1-2023),2022 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,328.16,381.99," 1,204,082 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,332.04,386.51," 998,248 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,295.96,344.50," 990,155 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,359.58,418.56," 951,353 ",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,369.92,430.60," 844,385 ",,,,,,,,,,,
6,BOS,Logan International,Boston,MA,324.85,378.13," 832,670 ",,,,,,,,,,,
7,SEA,Seattle/Tacoma International,Seattle,WA,307.52,357.96," 815,080 ",,,,,,,,,,,
8,MCO,Orlando International,Orlando,FL,239.79,279.12," 809,938 ",,,,,,,,,,,
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,400.52,466.21," 781,899 ",,,,,,,,,,,
10,PHX,Phoenix Sky Harbor International,Phoenix,AZ,321.07,373.73," 753,870 ",,,,,,,,,,,
11,SFO,San Francisco International,San Francisco,CA,371.76,432.74," 745,559 ",,,,,,,,,,,
12,JFK,John F. Kennedy International,New York-JFK,NY,388.19,451.87," 692,687 ",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,233.78,272.12," 687,806 ",,,,,,,,,,,
14,LGA,LaGuardia,New York-La Guardia,NY,323.66,376.75," 672,207 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,368.08,428.46," 592,925 ",,,,,,,,,,,
16,PHL,Philadelphia International,Philadelphia,PA,364.29,424.05," 553,118 ",,,,,,,,,,,
17,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,394.33,459.01," 551,714 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,303.99,353.85," 530,752 ",,,,,,,,,,,
19,DTW,Detroit Metro Wayne County,Detroit,MI,362.01,421.38," 526,777 ",,,,,,,,,,,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,242.55,282.33," 524,862 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,359.93,418.96," 488,036 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,289.28,336.73," 480,514 ",,,,,,,,,,,
23,MIA,Miami International,Miami,FL,314.31,365.87," 478,823 ",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,317.02,369.02," 453,572 ",,,,,,,,,,,
25,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,308.59,359.20," 442,456 ",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,308.35,358.93," 400,840 ",,,,,,,,,,,
27,SLC,Salt Lake City International,Salt Lake City,UT,364.52,424.31," 400,695 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,326.36,379.89," 387,230 ",,,,,,,,,,,
29,CLT,Charlotte Douglas International,Charlotte,NC,393.32,457.83," 372,212 ",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,308.99,359.67," 339,569 ",,,,,,,,,,,
31,RDU,Raleigh-Durham International,Raleigh/Durham,NC,322.21,375.06," 327,718 ",,,,,,,,,,,
32,MDW,Chicago Midway International,Chicago-Midway,IL,281.92,328.16," 320,449 ",,,,,,,,,,,
33,HNL,Daniel K Inouye International,Honolulu,HI,300.93,350.29," 312,069 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,363.53,423.16," 290,937 ",,,,,,,,,,,
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,272.40,317.08," 284,602 ",,,,,,,,,,,
36,OAK,Metro Oakland International,Oakland,CA,280.62,326.65," 272,223 ",,,,,,,,,,,
37,DAL,Dallas Love Field,Dallas-Love Field,TX,310.14,361.02," 268,490 ",,,,,,,,,,,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,378.53,440.62," 265,267 ",,,,,,,,,,,
39,MCI,Kansas City International,Kansas City,MO,366.88,427.06," 262,674 ",,,,,,,,,,,
40,MSY,Louis Armstrong New Orleans International,New Orleans,LA,287.37,334.51," 258,635 ",,,,,,,,,,,
41,CLE,Cleveland-Hopkins International,Cleveland,OH,301.09,350.48," 256,332 ",,,,,,,,,,,
42,IAD,Washington Dulles International,Washington-Dulles,DC,450.35,524.21," 253,348 ",,,,,,,,,,,
43,IND,Indianapolis International,Indianapolis,IN,333.40,388.09," 251,793 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,242.42,282.19," 243,172 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,359.31,418.24," 241,700 ",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,342.27,398.41," 233,411 ",,,,,,,,,,,
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,315.56,367.33," 228,128 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,350.48,407.97," 213,465 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,324.40,377.61," 207,837 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,281.74,327.95," 200,474 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,356.73,415.24," 183,949 ",,,,,,,,,,,
52,ONT,Ontario International,Ontario,CA,318.71,370.99," 170,319 ",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,354.63,412.80," 169,662 ",,,,,,,,,,,
54,MKE,General Mitchell International,Milwaukee,WI,339.95,395.71," 164,464 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,267.98,311.93," 160,987 ",,,,,,,,,,,
56,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,322.65,375.58," 157,443 ",,,,,,,,,,,
57,OMA,Eppley Airfield,Omaha,NE,360.90,420.10," 128,152 ",,,,,,,,,,,
58,MEM,Memphis International,Memphis,TN,369.55,430.17," 124,614 ",,,,,,,,,,,
59,RIC,Richmond International,Richmond,VA,374.11,435.47," 124,059 ",,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,331.89,386.32," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,353.88,411.93," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,319.05,371.39," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,383.14,445.98," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,343.84,400.24," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,271.48,316.01," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,355.04,413.27," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,336.86,392.11," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,373.83,435.15," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,369.67,430.31," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,458.72,533.96," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,331.15,385.47," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,336.10,391.22," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,322.52,375.42," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,349.23,406.51," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,366.55,426.67," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,213.87,248.95," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,391.95,456.24," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,347.47,404.46," 79,344 ",,,,,,,,,,,
79,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,316.98,368.97," 78,452 ",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,367.27,427.51," 78,345 ",,,,,,,,,,,
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,424.36,493.97," 75,675 ",,,,,,,,,,,
82,SAV,Savannah/Hilton Head International,Savannah,GA,379.69,441.97," 74,039 ",,,,,,,,,,,
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,368.42,428.86," 72,280 ",,,,,,,,,,,
84,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,261.86,304.81," 67,891 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,387.01,450.49," 64,333 ",,,,,,,,,,,
86,MYR,Myrtle Beach International,Myrtle Beach,SC,315.45,367.19," 62,925 ",,,,,,,,,,,
87,PNS,Pensacola International,Pensacola,FL,386.21,449.56," 60,511 ",,,,,,,,,,,
88,GSP,Greenville-Spartanburg International,Greer,SC,387.86,451.48," 59,223 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,382.39,445.11," 58,992 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,390.54,454.60," 58,461 ",,,,,,,,,,,
91,LIH,Lihue Airport,Lihue,HI,244.11,284.15," 58,367 ",,,,,,,,,,,
92,FAT,Fresno Yosemite International,Fresno,CA,373.67,434.96," 57,786 ",,,,,,,,,,,
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,397.42,462.61," 56,757 ",,,,,,,,,,,
94,MSN,Dane County Regional-Truax Field,Madison,WI,403.77,470.00," 55,194 ",,,,,,,,,,,
95,PWM,Portland International Jetport,Portland,ME,348.45,405.61," 54,716 ",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,352.47,410.29," 52,936 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,404.76,471.15," 50,546 ",,,,,,,,,,,
98,SFB,Orlando Sanford International,Sanford,FL,115.78,134.77," 47,740 ",,,,,,,,,,,
99,PIE,St Pete Clearwater International,St. Petersburg,FL,116.92,136.09," 47,279 ",,,,,,,,,,,
